Date : 2023-12-12 13:15:54
Directory : /Users/gauthierbaron/Documents/PlatformIO/Projects/PCU_8D/src
Total : 199 files,  -27212 codes, -9800 comments, -6859 blanks, all -43871 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /Users/gauthierbaron/Documents/PlatformIO/Projects/PCU_8D/lib/FastLED-master/src/platforms/arm/mxrt1062/clockless_arm_mxrt1062.h                     | C++                |        -99 |         -7 |        -26 |       -132 |
| /Users/gauthierbaron/Documents/PlatformIO/Projects/PCU_8D/lib/FastLED-master/src/platforms/arm/mxrt1062/fastled_arm_mxrt1062.h                       | C++                |        -10 |          0 |         -3 |        -13 |
| /Users/gauthierbaron/Documents/PlatformIO/Projects/PCU_8D/lib/FastLED-master/src/platforms/arm/mxrt1062/fastpin_arm_mxrt1062.h                       | C++                |        -60 |         -8 |        -24 |        -92 |
| /Users/gauthierbaron/Documents/PlatformIO/Projects/PCU_8D/lib/FastLED-master/src/platforms/arm/mxrt1062/fastspi_arm_mxrt1062.h                       | C++                |        -99 |        -18 |        -24 |       -141 |
| /Users/gauthierbaron/Documents/PlatformIO/Projects/PCU_8D/lib/FastLED-master/src/platforms/arm/mxrt1062/led_sysdefs_arm_mxrt1062.h                   | C++                |        -26 |         -6 |        -12 |        -44 |
| /Users/gauthierbaron/Documents/PlatformIO/Projects/PCU_8D/lib/FastLED-master/src/platforms/arm/mxrt1062/octows2811_controller.h                      | C++                |        -47 |         -1 |        -17 |        -65 |
| /Users/gauthierbaron/Documents/PlatformIO/Projects/PCU_8D/lib/FastLED-master/src/platforms/arm/nrf51/clockless_arm_nrf51.h                           | C++                |        -65 |         -3 |        -17 |        -85 |
| /Users/gauthierbaron/Documents/PlatformIO/Projects/PCU_8D/lib/FastLED-master/src/platforms/arm/nrf51/fastled_arm_nrf51.h                             | C++                |         -6 |         -1 |         -3 |        -10 |
| /Users/gauthierbaron/Documents/PlatformIO/Projects/PCU_8D/lib/FastLED-master/src/platforms/arm/nrf51/fastpin_arm_nrf51.h                             | C++                |        -86 |         -6 |        -28 |       -120 |
| /Users/gauthierbaron/Documents/PlatformIO/Projects/PCU_8D/lib/FastLED-master/src/platforms/arm/nrf51/fastspi_arm_nrf51.h                             | C++                |       -106 |        -19 |        -25 |       -150 |
| /Users/gauthierbaron/Documents/PlatformIO/Projects/PCU_8D/lib/FastLED-master/src/platforms/arm/nrf51/led_sysdefs_arm_nrf51.h                         | C++                |        -33 |         -1 |        -13 |        -47 |
| /Users/gauthierbaron/Documents/PlatformIO/Projects/PCU_8D/lib/FastLED-master/src/platforms/arm/nrf52/arbiter_nrf52.h                                 | C++                |        -91 |        -13 |        -10 |       -114 |
| /Users/gauthierbaron/Documents/PlatformIO/Projects/PCU_8D/lib/FastLED-master/src/platforms/arm/nrf52/clockless_arm_nrf52.h                           | C++                |       -256 |        -91 |        -43 |       -390 |
| /Users/gauthierbaron/Documents/PlatformIO/Projects/PCU_8D/lib/FastLED-master/src/platforms/arm/nrf52/fastled_arm_nrf52.h                             | C++                |         -8 |          0 |         -4 |        -12 |
| /Users/gauthierbaron/Documents/PlatformIO/Projects/PCU_8D/lib/FastLED-master/src/platforms/arm/nrf52/fastpin_arm_nrf52.h                             | C++                |        -88 |        -88 |        -15 |       -191 |
| /Users/gauthierbaron/Documents/PlatformIO/Projects/PCU_8D/lib/FastLED-master/src/platforms/arm/nrf52/fastpin_arm_nrf52_variants.h                    | C++                |       -559 |       -125 |        -40 |       -724 |
| /Users/gauthierbaron/Documents/PlatformIO/Projects/PCU_8D/lib/FastLED-master/src/platforms/arm/nrf52/fastspi_arm_nrf52.h                             | C++                |       -230 |        -68 |        -43 |       -341 |
| /Users/gauthierbaron/Documents/PlatformIO/Projects/PCU_8D/lib/FastLED-master/src/platforms/arm/nrf52/led_sysdefs_arm_nrf52.h                         | C++                |        -32 |         -6 |        -15 |        -53 |
| /Users/gauthierbaron/Documents/PlatformIO/Projects/PCU_8D/lib/FastLED-master/src/platforms/arm/renesas/clockless_arm_renesas.h                       | C++                |        -95 |        -10 |        -24 |       -129 |
| /Users/gauthierbaron/Documents/PlatformIO/Projects/PCU_8D/lib/FastLED-master/src/platforms/arm/renesas/fastled_arm_renesas.h                         | C++                |         -6 |          0 |         -3 |         -9 |
| /Users/gauthierbaron/Documents/PlatformIO/Projects/PCU_8D/lib/FastLED-master/src/platforms/arm/renesas/fastpin_arm_renesas.h                         | C++                |        -69 |         -9 |        -28 |       -106 |
| /Users/gauthierbaron/Documents/PlatformIO/Projects/PCU_8D/lib/FastLED-master/src/platforms/arm/renesas/led_sysdef_arm_renesas.h                      | C++                |        -18 |         -2 |         -9 |        -29 |
| /Users/gauthierbaron/Documents/PlatformIO/Projects/PCU_8D/lib/FastLED-master/src/platforms/arm/rp2040/clockless_arm_rp2040.h                         | C++                |       -197 |        -64 |        -63 |       -324 |
| /Users/gauthierbaron/Documents/PlatformIO/Projects/PCU_8D/lib/FastLED-master/src/platforms/arm/rp2040/fastled_arm_rp2040.h                           | C++                |         -5 |         -1 |         -3 |         -9 |
| /Users/gauthierbaron/Documents/PlatformIO/Projects/PCU_8D/lib/FastLED-master/src/platforms/arm/rp2040/fastpin_arm_rp2040.h                           | C++                |        -56 |         -1 |        -21 |        -78 |
| /Users/gauthierbaron/Documents/PlatformIO/Projects/PCU_8D/lib/FastLED-master/src/platforms/arm/rp2040/led_sysdefs_arm_rp2040.h                       | C++                |        -57 |        -17 |        -17 |        -91 |
| /Users/gauthierbaron/Documents/PlatformIO/Projects/PCU_8D/lib/FastLED-master/src/platforms/arm/rp2040/pio_asm.h                                      | C++                |        -78 |         -5 |        -16 |        -99 |
| /Users/gauthierbaron/Documents/PlatformIO/Projects/PCU_8D/lib/FastLED-master/src/platforms/arm/rp2040/pio_gen.h                                      | C++                |        -31 |        -15 |        -12 |        -58 |
| /Users/gauthierbaron/Documents/PlatformIO/Projects/PCU_8D/lib/FastLED-master/src/platforms/arm/sam/clockless_arm_sam.h                               | C++                |        -81 |        -14 |        -28 |       -123 |
| /Users/gauthierbaron/Documents/PlatformIO/Projects/PCU_8D/lib/FastLED-master/src/platforms/arm/sam/clockless_block_arm_sam.h                         | C++                |       -135 |        -13 |        -36 |       -184 |
| /Users/gauthierbaron/Documents/PlatformIO/Projects/PCU_8D/lib/FastLED-master/src/platforms/arm/sam/fastled_arm_sam.h                                 | C++                |         -7 |         -1 |         -3 |        -11 |
| /Users/gauthierbaron/Documents/PlatformIO/Projects/PCU_8D/lib/FastLED-master/src/platforms/arm/sam/fastpin_arm_sam.h                                 | C++                |        -98 |         -7 |        -33 |       -138 |
| /Users/gauthierbaron/Documents/PlatformIO/Projects/PCU_8D/lib/FastLED-master/src/platforms/arm/sam/fastspi_arm_sam.h                                 | C++                |       -105 |        -25 |        -34 |       -164 |
| /Users/gauthierbaron/Documents/PlatformIO/Projects/PCU_8D/lib/FastLED-master/src/platforms/arm/sam/led_sysdefs_arm_sam.h                             | C++                |        -25 |         -3 |        -12 |        -40 |
| /Users/gauthierbaron/Documents/PlatformIO/Projects/PCU_8D/lib/FastLED-master/src/platforms/arm/stm32/clockless_arm_stm32.h                           | C++                |        -97 |        -11 |        -26 |       -134 |
| /Users/gauthierbaron/Documents/PlatformIO/Projects/PCU_8D/lib/FastLED-master/src/platforms/arm/stm32/cm3_regs.h                                      | C++                |        -52 |          0 |        -12 |        -64 |
| /Users/gauthierbaron/Documents/PlatformIO/Projects/PCU_8D/lib/FastLED-master/src/platforms/arm/stm32/fastled_arm_stm32.h                             | C++                |         -5 |         -2 |         -3 |        -10 |
| /Users/gauthierbaron/Documents/PlatformIO/Projects/PCU_8D/lib/FastLED-master/src/platforms/arm/stm32/fastpin_arm_stm32.h                             | C++                |       -218 |        -14 |        -51 |       -283 |
| /Users/gauthierbaron/Documents/PlatformIO/Projects/PCU_8D/lib/FastLED-master/src/platforms/arm/stm32/led_sysdefs_arm_stm32.h                         | C++                |        -53 |         -9 |        -23 |        -85 |
| /Users/gauthierbaron/Documents/PlatformIO/Projects/PCU_8D/lib/FastLED-master/src/platforms/avr/clockless_trinket.h                                   | C++                |       -309 |       -103 |        -84 |       -496 |
| /Users/gauthierbaron/Documents/PlatformIO/Projects/PCU_8D/lib/FastLED-master/src/platforms/avr/fastled_avr.h                                         | C++                |         -9 |         -1 |         -4 |        -14 |
| /Users/gauthierbaron/Documents/PlatformIO/Projects/PCU_8D/lib/FastLED-master/src/platforms/avr/fastpin_avr.h                                         | C++                |       -337 |        -26 |        -99 |       -462 |
| /Users/gauthierbaron/Documents/PlatformIO/Projects/PCU_8D/lib/FastLED-master/src/platforms/avr/fastspi_avr.h                                         | C++                |       -608 |        -84 |       -151 |       -843 |
| /Users/gauthierbaron/Documents/PlatformIO/Projects/PCU_8D/lib/FastLED-master/src/platforms/avr/led_sysdefs_avr.h                                     | C++                |        -50 |         -6 |        -15 |        -71 |
| /Users/gauthierbaron/Documents/PlatformIO/Projects/PCU_8D/lib/FastLED-master/src/platforms/esp/32/clockless_block_esp32.h                            | C++                |       -116 |        -20 |        -37 |       -173 |
| /Users/gauthierbaron/Documents/PlatformIO/Projects/PCU_8D/lib/FastLED-master/src/platforms/esp/32/clockless_i2s_esp32.h                              | C++                |       -408 |       -260 |       -114 |       -782 |
| /Users/gauthierbaron/Documents/PlatformIO/Projects/PCU_8D/lib/FastLED-master/src/platforms/esp/32/clockless_rmt_esp32.cpp                            | C++                |       -325 |       -160 |        -77 |       -562 |
